時間戳記,照做，留言,留奇怪的言（比如圓周率、蛋糕作法...）,不留言，直接忽略,隱藏此類貼文或檢舉文章,不留言，把內文複製後用google搜尋答案,其它（簡答）,複選題~,你「去文章底下留言」這件事不會被朋友看見,朋友知道你去文章底下留言，但不會知道是「什麼樣的文章」,你身邊的朋友（3人以上）都在這篇文章底下留言,,每日平均在社群網站上（臉書、IG等...）花費的時間,在任何文章底下留言的頻率（不計入在不公開社團的留言，比如課業版）,承上題，通常你留言的類型是,您的性別,您的血型,您的年紀,您的星座,平日的嗜好/興趣 （複選）
2018/12/16 上午 11:54:05,1,1,5,1,1,,美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）,3,3,4,我從沒在這類文章下留言（選此選項者底下不必勾選）,較長（1小時~2小時）,每2~3天一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,15~19,雙子座,"球類運動, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食"
2018/12/16 上午 11:54:26,2,1,4,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）",4,4,5,"通常滿意, 日後留言意願不變",中等（20分鐘~1小時）,每月少於一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,B型,20~24,魔羯座,"聽音樂, 唱歌, 看電視劇、電影, 外出旅遊, 享受美食"
2018/12/16 上午 11:58:09,2,1,4,1,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,3,3,3,"通常滿意, 日後留言意願提高",較長（1小時~2小時）,每2~3天一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,男性,AB型,20~24,金牛座,"球類運動, 享受美食, 閱讀小說"
2018/12/16 上午 11:58:33,1,1,5,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）",3,3,4,我從沒在這類文章下留言（選此選項者底下不必勾選）,長（2小時以上）,每天一則以上,為了特殊活動而留言（例如：需留言分享的抽獎文）,男性,B型,15~19,巨蟹座,"球類運動, 田徑運動（如慢跑）, 美工設計"
2018/12/16 下午 12:12:18,2,1,1,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",3,3,1,"通常不滿意, 日後留言意願下降",長（2小時以上）,每2~3天一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,20~24,處女座,"球類運動, 聽音樂, 唱歌, 看電視劇、電影"
2018/12/16 下午 12:13:33,1,1,5,2,4,,只要看到就不會想留言,3,2,1,我從沒在這類文章下留言（選此選項者底下不必勾選）,中等（20分鐘~1小時）,每月一則以上，少於每週一則,表達自己的意見/看法,男性,O型,20~24,天蠍座,"聽音樂, 外出旅遊, 享受美食, 閱讀小說, 閱讀科學類書刊, 閱讀（任何書籍）, 攝影, 寫程式, 騎自行車"
2018/12/16 下午 12:14:24,1,1,5,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）",4,3,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,較長（1小時~2小時）,每天一則以上,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,20~24,水瓶座,"唱歌, 外出旅遊"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2018/12/16 下午 12:19:42,1,2,5,2,2,,推理故事（究竟小明是怎麼死的，快留言「？」看解答！）,3,2,2,滿意、不滿意參半,長（2小時以上）,每2~3天一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",男性,B型,15~19,巨蟹座,"聽音樂, 演奏樂器（鋼琴、小提琴等）, 閱讀（任何書籍）"
2018/12/16 下午 12:21:21,1,1,5,2,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",3,3,4,我從沒在這類文章下留言（選此選項者底下不必勾選）,較長（1小時~2小時）,每天一則以上,"表達自己的意見/看法, Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",男性,O型,20~24,雙子座,"田徑運動（如慢跑）, 游泳, 聽音樂, 唱歌, 看電視劇、電影, 閱讀小說"
2018/12/16 下午 12:25:29,2,1,3,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",4,3,4,"滿意、不滿意參半, 日後留言意願不變",較長（1小時~2小時）,每月一則以上，少於每週一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,O型,20~24,魔羯座,"田徑運動（如慢跑）, 聽音樂, 唱歌, 外出旅遊, 享受美食, 閱讀小說"
2018/12/16 下午 12:28:03,2,1,1,1,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 心理測驗/星座血型測人格（準！從星座看出你的愛情運勢！留言小編私訊你歐^^）",4,3,4,滿意、不滿意參半,較長（1小時~2小時）,約每週一則,"表達自己的意見/看法, Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,15~19,天秤座,"聽音樂, 唱歌, 演奏樂器（鋼琴、小提琴等）, 外出旅遊, 享受美食, 閱讀小說, 閱讀（任何書籍）, 創作文章, 看戲"
2018/12/16 下午 12:30:00,3,1,4,1,1,要看是什麼問題,"各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）, 推理故事（究竟小明是怎麼死的，快留言「？」看解答！）",3,3,3,"通常不滿意, 日後留言意願下降",較長（1小時~2小時）,每月一則以上，少於每週一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,O型,15~19,魔羯座,"聽音樂, 看電視劇、電影, 享受美食, 閱讀小說, 閱讀（任何書籍）, 繪畫"
2018/12/16 下午 12:34:07,1,1,5,4,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,3,3,3,"我從沒在這類文章下留言（選此選項者底下不必勾選）, 滿意、不滿意參半",較長（1小時~2小時）,每月少於一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,B型,20~24,獅子座,"聽音樂, 演奏樂器（鋼琴、小提琴等）"
2018/12/16 下午 12:41:55,3,1,4,1,1,,推理故事（究竟小明是怎麼死的，快留言「？」看解答！）,4,1,5,通常不滿意,較長（1小時~2小時）,約每週一則,"表達自己的意見/看法, Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,B型,15~19,魔羯座,"聽音樂, 唱歌, 外出旅遊"
2018/12/16 下午 12:43:53,1,1,5,2,1,,"旅遊類（花蓮7大必去景點！留言「+1」讓小編告訴你）, 美食類（來台南絕不能錯過的巷口美食！留言「想吃」讓小編告訴你~）, 各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）",5,1,3,我從沒在這類文章下留言（選此選項者底下不必勾選）,較長（1小時~2小時）,每月少於一則,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,B型,15~19,牡羊座,"游泳, 聽音樂, 演奏樂器（鋼琴、小提琴等）, 外出旅遊, 享受美食"
2018/12/16 下午 12:48:00,1,1,3,2,4,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,5,3,4,"通常滿意, 日後留言意願提高",中等（20分鐘~1小時）,每2~3天一則,"Tag朋友，讓他們看到這篇文章, 為了特殊活動而留言（例如：需留言分享的抽獎文）",女性,A型,15~19,雙魚座,"田徑運動（如慢跑）, 聽音樂, 唱歌, 外出旅遊, 享受美食, 閱讀（任何書籍）, 攝影, 美工設計"
2018/12/16 下午 12:48:00,1,1,5,1,1,,各種模板、免費軟體（30種ppt實用模板，留言「我要ppt」，小編把下載連結傳給你唷！）,5,1,3,滿意、不滿意參半,較長（1小時~2小時）,每天一則以上,為了特殊活動而留言（例如：需留言分享的抽獎文）,女性,A型,15~19,雙子座,"球類運動, 舞蹈（民舞、國標舞...etc.）, 聽音樂, 唱歌, 外出旅遊, 享受美食"
